17.000000 2.000000 0.006296 0.000040 2.000000 NaN
17.500000 1.000000 0.003866 0.000015 1.000000 0.000843
18.000000 5.000000 0.024175 0.000491 5.000000 NaN
19.000000 2.000000 0.010400 0.000105 2.000000 NaN
19.500000 2.000000 0.075303 0.003288 2.000000 0.036307
20.000000 1.000000 0.077815 0.006055 1.000000 0.008149
20.500000 1.000000 0.053949 0.002910 1.000000 NaN
21.500000 2.000000 0.200834 0.020297 1.000000 NaN
22.500000 2.000000 0.259170 0.034252 0.000000 NaN
23.000000 1.000000 0.010550 0.000111 1.000000 -0.007761
23.500000 1.000000 0.114064 0.013011 0.000000 0.128235
24.000000 1.000000 0.267020 0.071299 0.000000 0.227262
24.500000 1.000000 0.568588 0.323292 0.000000 0.061274
25.000000 5.000000 1.947835 0.805944 0.000000 -0.011037
25.500000 1.000000 0.546513 0.298676 0.000000 0.131062
26.000000 2.000000 1.303383 0.914246 0.000000 0.055786
26.500000 2.000000 1.316171 0.867779 0.000000 NaN
27.500000 1.000000 0.084848 0.007199 1.000000 NaN
